id,position,label,description,start_date,term,constituency,end_date,replaces,replaced_by,party
Q16215057,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q16345082,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q16345653,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q16345653,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Narsingdi-1,,,,
Q16345653,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q16346254,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q16346295,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q16346295,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Gazipur-5,,,,
Q16346295,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q16346309,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q16346309,Q55180215,,"","",,,,,,
Q16730545,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-29,10th Jatiyo Sangshad,Lakshmipur-3,,,,
Q16732958,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q16732958,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Chittagong-7,,,,
Q16732958,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q18988788,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q18988788,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Comilla-11,,,,
Q19892715,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q19892715,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Madaripur-2,,,,
Q20603891,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q20604143,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q20604143,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,,,,,
Q20604143,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q20630534,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2009,,,,,,
Q20630534,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Rajshahi-2,,,,
Q20630534,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,,,2014,,,
Q20728058,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-24,,,,,,
Q20728058,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,reserved seat for Women,,,,
Q20983389,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q20983389,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Satkhira-1,,,,
Q21063243,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-25,10th Jatiyo Sangshad,Barisal-3,,,,
Q21872307,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q21872307,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Shariatpur-3,,,,
Q21872307,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q21873781,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q21873781,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Dhaka-3,,,,
Q21873781,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q23047518,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q23047518,Q55180215,,"",2001-10-10,,,2005-09-12,,,
Q23415067,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q23415067,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014,10th Jatiyo Sangshad,Thakurgaon-3,,,,
Q234814,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q234814,Q14565638,Prime Minister of Bangladesh,head of government of the People's Republic,1991-03-20,,,1996-03-30,Kazi Zafar Ahmed,Muhammad Habibur Rahman,
Q234814,Q14565638,Prime Minister of Bangladesh,head of government of the People's Republic,2001-10-10,,,2006-10-29,Latifur Rahman,Iajuddin Ahmed,
Q234814,Q17068161,Leader of the Opposition,parliamentary position in Bangladesh,2008-12-29,,,2014-01-09,Sheikh Hasina,Rowshan Ershad,
Q234814,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q23542545,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q23542545,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Jamalpur-1,,,,
Q23682377,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q23682377,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,reserved seat for Women,,,,
Q23881773,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-24,,,,,,
Q23881773,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,reserved seat for Women,,,,
Q24175641,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q24175641,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Brahmanbaria-4,,,,
Q24175644,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Magura-2,,,,
Q24175644,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q24660018,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2009,,,,,,
Q24660018,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Kushtia-2,,,,
Q24660018,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,,,2014,,,
Q25587313,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q25587313,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Chandpur-2,,,,
Q25588139,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q25588139,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Chapai Nawabganj-2,,,,
Q25588149,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Chapai Nawabganj-3,,,,
Q26466250,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q26466250,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q26703013,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q26703013,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Faridpur-2,,,,
Q26703013,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q26924492,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q26924492,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Jessore-6,,,,
Q26924678,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q26924678,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Pabna-4,,,,
Q26924748,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q26924748,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Manikganj-3,,,,
Q26924748,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q26924752,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-05,,,,,,
Q26924752,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Rangpur-1,,,,
Q26924761,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2009,,,,,,
Q26924761,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Khulna-5,,,,
Q26924761,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,,,2014,,,
Q26924782,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q26924782,Q15735113,deputy Minister,title borne by politicians or government officials in certain countries,2014-02-26,,,,,,
Q26924782,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Bhola-4,,,,
Q26924794,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Bandarban Hills,,,,
Q26997545,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q26997545,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q27063150,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q27063150,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Lalmonirhat-2,,,,
Q27063153,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q27063153,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Chittagong-13,,,,
Q27063199,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,1996,,,,,,
Q27063199,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Narsingdi-5,,,,
Q27063289,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q27063289,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Dhaka-13,,,,
Q27063642,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q27063642,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Satkhira-3,,,,
Q27063647,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q27063647,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q27063647,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Khulna-3,,,,
Q27063649,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q27063649,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q27662532,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q27662532,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Barisal-1,,,,
Q27662589,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q27662589,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Bagerhat-1,,,,
Q27662656,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q27662656,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Feni-2,,,,
Q27916336,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-05,,,,,,
Q27916336,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Gazipur-2,,,,
Q27916337,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q27916337,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Jessore-3,,,,
Q27947698,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q27947698,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Narayanganj-4,,,,
Q27947708,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q27947708,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q27947719,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-06-26,10th Jatiyo Sangshad,Narayanganj-5,,,,
Q27949037,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q27949037,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Rajshahi-6,,,,
Q27949037,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,,,2014,,,
Q28086195,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-05,,,,,,
Q28086195,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Dhaka-14,,,,
Q28086207,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Mymensingh-6,,,,
Q28086207,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q28094296,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q28094296,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,,,,,
Q28225410,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Gaibandha-5,,,,
Q28225414,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Patuakhali-4,,,,
Q28225414,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q28457273,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q28457273,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Sylhet-4,,,,
Q28457273,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q28529910,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q28529910,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Chittagong-6,,,,
Q28838184,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q28839619,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q28839619,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Gazipur-4,,,,
Q28840485,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q28840485,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-05,,,,,,
Q28840485,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-24,10th Jatiyo Sangshad,reserved seat for Women,,,,
Q28858910,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Naogaon-2,,,,
Q29387165,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Nilphamari-3,,,,
Q31724146,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q31724146,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Dinajpur-6,,,,
Q31728596,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-05,,,,,,
Q31728596,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Chandpur-4,,,,
Q31734584,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-05,,,,,,
Q31734584,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q31734584,Q486839,member of parliament,representative of the voters to a parliament,"",,,,,,
Q4159817,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q4159817,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q41757056,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q42396278,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-05,,,,,,
Q42396278,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,reserved seat for Women,,,,
Q42396278,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-03-24,,,,,,
Q42398738,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q42398738,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Gaibandha-2,,,,
Q42399066,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q42399066,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Naogaon-4,,,,
Q42725424,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q42725449,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q42725480,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-05,,,,,,
Q42725480,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,reserved seat for Women,,,,
Q42725503,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-24,10th Jatiyo Sangshad,reserved seat for Women,,,,
Q42725594,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Dhaka-1,,,,
Q42725596,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014",2009,,,2014,,,
Q42725597,Q42712844,Member of the 9th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2009-2014","",,,,,,
Q43106469,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q43106469,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Barisal-5,,,,
Q43113027,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q43113027,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Barisal-6,,,,
Q43241837,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q43241837,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,Noakhali-6,,,,
Q43279499,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q43279499,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Maulvibazar-3,,,,
Q43281250,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q43281250,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Feni-1,,,,
Q43301926,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q43301926,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Netrokona-4,,,,
Q43302210,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,"",,,,,,
Q43302210,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards","",10th Jatiyo Sangshad,Munshiganj-2,,,,
Q43303865,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014-01-24,,,,,,
